willing_for_participation,,,role_in_conference,result_after_hearing_Education_Keynote,panel_attended,pannel_attended_all_apply,"Please explain more, if you choose ""None of the above"" for the previous question.",knowledge_increase,"desire_for_collaboration 
",Grant_Application_Intent,Volunteering _in_community,involving_panelists_ community,Well_representation_of_Diverse panelists,Well_representation_of_Multiple_service_models,committed_to_being_engaged_in_community,Learnings_from_LUD,Inspired_for_being_more_socially_committed_responsible,experience_with_networking_with_other_LUD_participants_or_speakers,conference_improovement,comments_or_suggestions
"Yes, I am happy to participate in this survey",,,PhD scholar,Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Not applicable,Not applicable,Neutral,Agree,Agree,Agree,Agree,I was inspired to support various educational initiatives for my community.,I was inspired to support various educational initiatives for my community.,I had a very good experience networking with other participants.,Information on the conference could have been shared in advance so that we could plan our schedules better.,No
"Yes, I am happy to participate in this survey",,,University Faculty or Staff,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,That we can start off what we want to and need not wait for others,"Yes, am inspired and motivated with the idea how one individual can bring about a change ",It was very enriching ,It was well planned and executed ,No
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Different education system all around the world discussed by various panelist. Education and how everyone could be included in education whether it be disabled or people with special needs .,"Yes it has . Being a student I will try to do my best to include everyone ,include diversity etc  ",Very nice and informative speakers from various bagrounds who come together to discuss of a topic ,Increased time limits so all questions can be answered.,-
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Always be motivated ,Being strong we can guide others in a right path,The speaker was amazing and her story was inspiring ,It was the best ,Nope
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,it is imp to hear stories,it didnt,it was fun,by not extending the allotted time period ,no
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Listen to other people's stories ,"Yes, ",It was a  wonderful experience ,By adding more entertainment subjects ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"It made me realize how we compromise things for others betterment or even for ourself for example our sleep, i saw the advantages of sleeping on time and i was shocked. It made me realize how people are judgemental and how to handle such situations.","Yes it has, i saw many people socializing and i haven't tried that but when i saw how kindly they spoke how nicely they elaborated it made me happy","I was really inspired by ms. Hope and ms. Dionne as well as ms. Tasqeen, they are really good storytellers and it has become a motivation for me to involve my education in my profession ",Conference was really good and i dont think there should be any improvement but a little bit of interaction would be good,"No, everything was wonderful "
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Education at grassroot is just the beginning of the great future development ,Yes ,Great,Better streamlining and on campus publicity,Yes
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Not applicable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,My key takeaways are that i should start socializing so that i can have more exposure/chances of improving through my networking,"yes, it has inspired me to be more socially committed and responsible as after listening to the panelists speak it has motivated me and i want to do something big.",It was very helpful and the panelists were totally willing to help me with my project and they were also super hyped about my project.,It can be improved by giving the panelists more time as they seemed to have wanted to share more with us but couldn't've.,Christ students were really helpful to and were willing to guide me when i was lost.
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Agree,Neutral,Strongly agree,,,Agree,"It was a fun and interesting conference for me and being able to learn about the education track, it was quite optimistic ","Yes, as a member of the Oxfam Club I am indeed inspired by how well invested everyone were on what they are trying to convey their ideas to us and I really want to implement this very same thing in my school too.","They were definitely humble, wise and respectful people. I liked how interactive they were with their audience ",I felt the timing of the events could have been managed better as many good events were happening at the same time and I wasn’t able to attend more than one at a time,"No. It was a really good conference and I enjoyed my time, Thank you"
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Empowering minds to empower the nation,"Yes, each of us are part of the society, it is because of the society that we are organised into a structures and culture so we need to give back something to society",Very inspiring ,The conference is well organised ,No
"Yes, I am happy to participate in this survey",,,"Student, Volunteer ",More strongly committed to my specific community service organization,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Be more socially active and responsible.,"Yes, it has inspired me in almost all spheres and helped gain the confidence to interact with my peers and delegates",Oh I loved the experience I could share and gain from all of the speakers and delegates and it felt that we could employ small steps to show commitment towards our committee ,Nil,Nope
"Yes, I am happy to participate in this survey",,,Volunteer ,Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",NA,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,"That education does not have a definitive form, it's not rote learning it's more of concept building. ","Yes, because of the various anecdotes given by the panelists ",It was interesting,NA,NA
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,"I have learned how education can help us achieve gender equality, youth suicides and racial equality ","Yes, interacting with these great contributors has inspired me how education can help us in many different matters ",They were all really friendly and welcoming towards me. Definitely had a great time!,I think more food stalls could be setup as the campus is huge and cafeteria stalls are elsewhere setup ,No 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,,,Agree,i learnt many things,"yes, the panalists inspired me",they were all so sweet,provide more time for the pannels so that we can ask more questions,no
"Yes, I am happy to participate in this survey",,,Educator,Going back to my community with the plan of calling others to community action,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Education must be transformed ,Yes,The delegates were really friendly ,It was good ,None
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,It was good ,Yes ,It was great ,No improvement required ,No 
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Understand and evaluate my individual experiences while learning things around me. Pay more attention to what is needed for me to make the most of my education and knowledge learning.,Yes. Help the less privileged by supporting and volunteering for raises funds and empower them for education.,"I had networked and learnt alot from people across the globe, their perspectives, opinions, preferences etc.",Time management/constraints since the schedule was not centered as planned and mentioned. More organized when iu comes to communicating information. More number of volunteers since there were certain things that people were seeking assistance for but got them a little late.,None.
"Yes, I am happy to participate in this survey",,,Research Scholar,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,More committed to my community,Yes,Nice,More on sdg goals,Nothing
"Yes, I am happy to participate in this survey",,,Research Scholar,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Committed to my community,Yes,Good,More talk on sdg goals,Nothing
"Yes, I am happy to participate in this survey",,,PhD Scholar,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,It was a good platform to acquire more knowledge about the current world and issues we face as a human being. We should connect to the social world.,I got to know about there are many chances to explore the social world. I should responisible for the changing life styles and progresses as well as issues.,Good experience and they talked and interacted very well.,"Timing can increase , some sessions has only one hour time.",Provide more opportunities like this.
"Yes, I am happy to participate in this survey",,,PhD Scholar,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,About the Education policies and their betterment,"Yes, get to learn more",Good,More diverse discussions,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Learnt more ,Yes,It was great,It was the best,It was amazing and well organized 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Knowledge, memories ","Yes, socially ",Mesmerizing ,Its already been great ,"Nope, amazing experience "
"Yes, I am happy to participate in this survey",,,"Student, Research Scholar ",More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,"My key takeaways from the Education Track of the Let Us Dream conference would focus on the innovative educational strategies discussed, such as personalized learning and the integration of technology in classrooms. Emphasis on equity in education, the importance of teacher training, and the role of community partnerships are also significant points.","Attending the Education Track of the Let Us Dream conference has indeed inspire da heightened sense of social responsibility in me. Motivated by the discussions on equity and the power of education to transform lives, I find myself more inclined to support educational initiatives, contribute to community learning programs, or even advocate for policy changes that aim to reduce barriers to education. This newfound inspiration will hopefully translate into more actively seeking ways to make a difference in the educational landscape.","They were good. The brief conversations have been enriching. The exchanges were insightful, providing opportunities to discuss collaborative ideas, share best practices, and explore future partnerships that align with the conference's educational initiatives and goals.",They need to happen more frequently ,NA
"Yes, I am happy to participate in this survey",,,PhD Scholar,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Inclusive education session,Everyone needs education inspired of various social and physical challenges. ,It was touching to hear their goals set for the community services they planned for the future. ,"Not much but, but a suggestion to get more resource persons from other nations. ",None.
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,It emphasizes on keep learning and keep dreaming to achieve greater heights,Yes,It was an excellent experience ,Conference was well organized ,No
"Yes, I am happy to participate in this survey",,,PhD Scholar ,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,Engaging with community service ,To be more present t for  people who are in need,Great,It was well organized ,No
"Yes, I am happy to participate in this survey",,,University Faculty or Staff,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Networking ,Yes,Great,Faculty ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The conference given insights about the education platform and also sneha Arunkumar who  was the delegate said about her disability and also made an opportunity for knowing about the importance of education ,Yes the conference given inference about how toknow about the people and also the things related by  to that,It was great experience to attend ,Yes improvment can be done as time is short for networking ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The conference was very good and given many insights about people who are facing disabilities and their education can be supported can and also sneha arun kumar he life is very much inspiring and let me to this social commitment ,Yes the conference given an insight anout how the education sector should be improved and also about the difficulties faced by the people who have disabilities ,Yeah the experience was really good and didnt had much time for that ,The conference didnt give that much time for the networking for doing interaction ,No
"Yes, I am happy to participate in this survey",,,"Student, ",More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,it was good,yes it has,it was nice i met new people,everything was good,na
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Neutral,Agree,Agree,,,Agree,It gave me a idea of how well can i renovate the system of my organisation n improve it....,"Yes,As it shows that there is joy in being socially committed and responsible.",It was great and worthy networking....,It is already going good...,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Socializing is not tht bad,"Yes, if I participate in any group of tge society I would really be committed....And in this conference I learnt how to talk to people you had just seen that morning.",Enlightning,Coordination of the volunteers to the higher authorities of the respective institutions,No
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Neutral,Agree,Being good to people around us,Yes,Good ,Nothing it is nice ,No
"No, I do not wish to participate",,,.,,,,,,,,,,,,,,,.,,
"Yes, I am happy to participate in this survey",,,Volunteer - stalls and media,Processing what I heard today and uncertain of my next step,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,The importance of inclusive education ,"yes, by introducing me to the amazing changemakers",Great,Nil,No
"No, I do not wish to participate",,,.,,,,,,,,,,,,,,,.,,
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,I learned more about social responsibility and how to practice it,Moderately ,Pretty interactive ,It was perfect ,Nope
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Motivated,Yess,Good experience ,It doesn't need to be improved,Noo
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,"Education  is not a framework structure, but a  creative interesting practical skills based knowledge learning.",Yes. To bring awareness about how education is not based on a framework but a learning platform to increase skill and creative mindset. I.e outside the box learning.,It was a great opportunity to connect with new ppl and get to know different perspectives regarding education ,It's a great initiative. Keep going!,None
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Nil,Yes ,Nil,Nil,Nil
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,.,Yes,.,The time allotments ,.
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",No comments ,Agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Agree,Keep track what you want,Focus ,Dreams ,No comments ,No 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,-,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,-,"Yes, I need to engage myself more in community interactions ",It was good,It was good,None
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,I got to learn much ,"yes, ",It was good ,A little more interaction with the audience by the speaker would be appreciated ,Nothing 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,I learned how to bring more services to my community ,Yes..it has been an influence and motivation for me to be responsible and socially committed to my community ,It was good,Can bring some ice breaking sessions so that the participants can participate ,No 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Great reality checks,"Yes, I want to be more participative ",I wish to be more engaging ,A friendly chair to chair conversation,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Confidence ,"Yes , made me to involve in my community activities ",To improve ,Through good speakers ,No
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Neutral,Disagree,Agree,Strongly agree,Agree,Agree,"About Educational policies, the research findings related to it, and new reforms that must take place ",Yes. It has inspired me to actively participate in the micro level of community to make visible changes on macro level of society,It was wonderful meeting diverse people espeacially LUD members from Kerala and people who have worked in South Africa,"Instead of keeping 3 panels simultaneously, perhaps it can be done one after the other so that we can listen and engage with all the topics/speakers rather than having to pick",None
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Gaining knowledge which improves the society ,Learning new things ,Problem solving ,By new exciting things ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Not applicable,Not applicable,Agree,Neutral,Neutral,Neutral,There are so many thing to learn and unlearn,Yes,Good,"It was good,  no improvements required",No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,To do more social work as much as possible ,"Yes , to be more socially responsible ",Very interactive and informative ,Bringing in more participants ,To make it even more interactive with activities 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,.,.,It was an Indians interactive session,.,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Neutral,Strongly agree,NA,Yes,Good,NA,NA
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education",,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,It teaches us many new things which would be very helpful for us in future also.,"Yes,. ",Good. I liked it ,—,No 
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Knowledge about something i dont knw,Yes ,Good,It was good,No
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",. ,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,.,"Yes, it motivated me to be a better person ",.,.,.
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Education should be given majority priority regardless of whatever situation you might be in.You can go for education in any areas even if you do have a prior knowledge in that area. It's always better to know more ,Yea. Attending any type of programs or organsing them even if they aren't of my interest would be nice cause knowledge in any area can be applicable anytime ,It was enjoyable ,The conference was good ,No
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,To be socially responsible ,The conference has created a sense of responsibility and awareness ,The speakers were inspirational ,Nil,Nil 
"Yes, I am happy to participate in this survey",,,"Student, Participant",More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Confidence ,"Yes,I am motivated",Nice ,Already good,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree,"Holistic development, experiential learning  and compassion are vital components for good education. ","Yes, by incorporating discipline, inclusivity and compassion.",Enriching.,No suggestions ,No suggestions 
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,We have a great role in the betterment our society,"Yes, it taught me that we can make a change if attempted to. ",Very good,It was well maintained,No
